이닝,공격팀구분,타자명,투수명,투구ID,상대타석내구수,구종(stuff),구속(speed),좌우위치(crossPlateX),상하위치(crossPlateY),S존상단(topSz),S존하단(bottomSz),타자타석방향(stance),초속X(vx0),초속Y(vy0),초속Z(vz0),가속도X(ax),가속도Y(ay),가속도Z(az),텍스트로그
6,Away,이원석,올러,260506_200740,4,체인지업,137.0,-0.494456,0.7083,3.278,1.59,R,6.52563,-122.184,-1.72597,-10.2421,23.4582,-30.7612,이원석 : 좌익수 왼쪽 2루타
6,Away,심우준,올러,260506_201206,4,체인지업,136.0,-0.461759,0.7083,3.36,1.63,R,7.08274,-122.012,-3.44419,-10.9324,20.8974,-28.0753,심우준 : 2루수 플라이 아웃
6,Away,황영묵,올러,260506_201441,4,슬라이더,136.0,-0.829671,0.7083,3.272,1.587,L,2.23867,-121.69,1.36727,12.6436,23.7187,-45.7837,황영묵 : 삼진 아웃
6,Away,심우준,올러,260506_201236,5,슬라이더,135.0,0.051258,0.7083,3.36,1.63,R,3.87385,-120.347,1.73222,10.9365,22.3771,-41.2274,심우준 : 2루수 플라이 아웃
6,Home,김선빈,류현진,260506_201657,1,직구,141.0,0.671775,0.7083,3.045,1.477,R,-4.91671,-126.422,-5.53715,12.2379,27.3151,-14.8774,김선빈 : 삼진 아웃
6,Home,김도영,류현진,260506_201809,1,직구,145.0,0.924561,0.7083,3.342,1.621,R,-5.12684,-130.211,-3.03199,15.9196,29.4354,-12.5524,김도영 : 우익수 플라이 아웃
6,Home,N/A,류현진,260506_201904,1,직구,143.0,-0.336307,0.7083,3.453,1.675,R,-7.03475,-128.152,-3.02661,12.486,26.1323,-13.7397,
6,Home,나성범,류현진,260506_202114,1,직구,144.0,-0.705145,0.7083,3.344,1.622,L,-8.24154,-128.926,-3.81475,13.6691,29.0671,-15.3559,나성범 : 삼진 아웃
6,Home,김선빈,류현진,260506_201714,2,직구,143.0,0.419974,0.7083,3.045,1.477,R,-5.69199,-127.243,-6.48621,13.4448,25.1474,-16.4093,김선빈 : 삼진 아웃
6,Home,김도영,류현진,260506_201826,2,직구,144.0,-0.024671,0.7083,3.342,1.621,R,-6.77604,-129.245,-5.77886,14.6468,26.9061,-15.8892,김도영 : 우익수 플라이 아웃
